Family	 Species	 Exemplar
1	2	1
2	9	8
2	3	8
2	3	5
2	10	10
2	2	5
2	2	4
2	7	11
1	8	3
1	9	9
1	3	4
1	2	7
2	1	1
1	2	11
2	9	6
2	5	1
1	10	10
2	9	12
2	3	4
1	10	12
2	4	3
1	5	3
1	10	2
1	3	8
2	10	12
2	6	9
2	5	11
1	6	11
2	5	12
1	6	12
1	1	1
1	5	10
1	8	10
2	1	4
2	2	10
1	7	11
2	1	8
2	7	4
1	8	11
1	8	6
1	4	6
1	1	3
2	6	4
1	3	6
2	1	2
1	1	10
1	9	12
1	10	5
1	9	11
1	9	4
1	9	1
2	4	12
1	10	8
2	6	5
1	1	6
1	10	11
1	6	4
2	9	7
2	3	1
1	3	3
2	8	3
1	4	10
1	2	9
2	1	9
2	6	8
2	8	7
2	8	5
1	7	12
2	2	2
1	9	5
2	7	9
2	6	11
2	2	1
2	4	10
2	4	2
2	10	1
1	4	11
1	8	12
1	4	4
1	5	11
2	5	5
1	6	1
1	8	2
1	5	2
2	3	6
2	5	4
1	5	7
1	1	7
1	4	2
2	7	10
2	7	3
2	9	9
1	6	7
2	1	11
2	8	10
2	2	6
2	5	10
2	10	6
1	2	5
1	4	5
1	7	2
2	6	12
2	4	7
2	3	2
2	4	9
1	7	10
1	3	9
2	9	3
1	3	7
2	10	5
1	2	2
2	8	6
2	8	11
2	7	5
1	7	5
1	5	4
1	1	11
1	6	10
1	7	4
2	10	9
