Family1	 Species1	 Exemplar1	 Family2	 Species2	 Exemplar2	 Rating

2	9	4	2	9	1	5
1	1	5	1	1	2	1
2	6	3	2	6	7	1
1	7	9	1	7	7	1
1	4	1	1	4	12	1
1	10	6	1	10	1	1
2	4	8	2	4	6	1
2	7	7	2	7	6	1
1	10	3	1	10	9	1
2	1	3	2	1	6	1
1	6	9	1	6	5	1
2	7	12	2	7	1	1
1	10	7	1	10	4	1
2	3	12	2	3	7	1
1	2	6	1	2	12	1
1	5	8	1	5	12	1
2	9	5	2	9	10	1
2	4	5	2	4	11	1
1	5	6	1	5	1	1
1	9	10	1	9	6	1
2	5	8	2	5	7	1
1	9	3	1	9	2	1
2	1	12	2	1	10	1
2	3	9	2	3	11	1
2	10	8	2	10	7	1
2	3	10	2	3	3	1
2	9	2	2	9	11	1
2	5	6	2	5	2	1
2	2	8	2	2	12	1
1	8	4	1	8	7	1
2	8	1	2	8	2	1
2	10	2	2	10	4	1
1	8	8	1	8	9	1
1	5	5	1	5	9	1
1	4	8	1	4	7	1
2	7	2	2	7	8	1
2	6	6	2	6	2	1
1	2	4	1	2	8	1
1	7	8	1	7	6	1
1	9	7	1	9	8	1
2	5	3	2	5	9	1
1	6	2	1	6	3	1
1	1	12	1	1	4	1
2	2	11	2	2	9	1
1	3	5	1	3	11	1
1	3	12	1	3	2	1
1	3	1	1	3	10	1
1	6	8	1	6	6	1
2	1	7	2	1	5	1
1	7	1	1	7	3	1
2	6	1	2	6	10	1
1	2	3	1	2	10	1
1	1	8	1	1	9	1
1	4	9	1	4	3	1
2	10	3	2	10	11	1
2	8	4	2	8	12	1
2	2	7	2	2	3	1
1	8	1	1	8	5	1
2	8	9	2	8	8	1
2	4	4	2	4	1	1
